n,r,m
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: poster1 behind man1, source_label: sign, edge_id: 136, describe: sign poster behind man man, edge_type: static-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: man1 below sign1, source_label: sign, edge_id: 4, describe: man below sign, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: sign1 visible to player1, source_label: sign, edge_id: 3, describe: sign visible to player, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: basketball hoop near poster1, source_label: sign, edge_id: 137, describe: sign basketball hoop near poster basketball hoop, edge_type: static-static, valid_at: 1, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: sign1 near basketball hoop, source_label: sign, edge_id: 7, describe: sign near basketball hoop, edge_type: static-static, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: poster1 below banner, source_label: sign, edge_id: 133, describe: sign poster below banner banner, edge_type: static-static, valid_at: 1, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: sign1 adjacent to banner, source_label: sign, edge_id: 5, describe: sign adjacent to banner, edge_type: static-static, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: logo associated with sign1, source_label: sign, edge_id: 6, describe: logo associated with sign, edge_type: static-static, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: sign1 displaying score for floor, source_label: sign, edge_id: 1, describe: sign displaying score for floor, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: sign1 over court lines, source_label: sign, edge_id: 2, describe: sign sign over court lines floor, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: floor below poster1, source_label: sign, edge_id: 134, describe: sign floor below poster floor, edge_type: static-static, valid_at: 1, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})","[:SEMANTIC_REL {predicate: poster1 above paper, source_label: sign, edge_id: 135, describe: sign poster above paper sign, edge_type: static-static, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 2})","[:SEMANTIC_REL {predicate: water bottle1 close to sign2, source_label: water bottle, edge_id: 8, describe: water bottle close to sign, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 2})","[:SEMANTIC_REL {predicate: water bottle1 reflected in window2, source_label: water bottle, edge_id: 10, describe: water bottle reflected in window, edge_type: attached, valid_at: 0, target_label: window}]","(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 2})","[:SEMANTIC_REL {predicate: water bottle1 displayed in advertisement, source_label: water bottle, edge_id: 9, describe: water bottle displayed in advertisement, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: man1 below sign1, source_label: man, edge_id: 17, describe: man below sign, edge_type: static-dynamic, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: poster1 behind man1, source_label: man, edge_id: 111, describe: man poster behind man sign, edge_type: static-dynamic, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: player1 face towards man1, source_label: man, edge_id: 16, describe: player face towards man, edge_type: dynamic-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: man1 face away from man3, source_label: man, edge_id: 110, describe: man man face away from man player, edge_type: dynamic-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: basketball hoop behind man1, source_label: man, edge_id: 15, describe: basketball hoop behind man, edge_type: static-dynamic, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: man1 aim at basketball hoop, source_label: man, edge_id: 109, describe: man aim at basketball hoop, edge_type: static-dynamic, valid_at: 1, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: banner behind man1, source_label: man, edge_id: 12, describe: banner behind man, edge_type: static-dynamic, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: logo behind man1, source_label: man, edge_id: 14, describe: logo behind man, edge_type: static-dynamic, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: man1 wear shoes on floor, source_label: man, edge_id: 11, describe: man wear shoes on floor, edge_type: static-dynamic, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: court lines beneath man1, source_label: man, edge_id: 13, describe: man court lines beneath man floor, edge_type: static-dynamic, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})","[:SEMANTIC_REL {predicate: man1 walk on floor, source_label: man, edge_id: 112, describe: man walk on floor, edge_type: static-dynamic, valid_at: 1, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
